CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f634e221c4e3   edge_data_manager       0.00%     77.45MiB / 31.35GiB   0.24%     2.28MB / 26.7kB   0B / 0B     31
cf6b962b01fb   cloud_server            0.00%     79.27MiB / 31.35GiB   0.25%     2.28MB / 32.1kB   0B / 0B     31
19b616cbf682   case2-edgeIoTDevSim-1   0.45%     48.76MiB / 500MiB     9.75%     2.28MB / 28.7kB   0B / 0B     21
a32b57403b1a   cloud_publisher         0.00%     46.88MiB / 31.35GiB   0.15%     2.28MB / 33.5kB   0B / 0B     21
df12b5fb6d8c   edge_broker             0.00%     88.91MiB / 31.35GiB   0.28%     2.28MB / 28.3kB   0B / 0B     21
0503032271dc   cloud_client            0.00%     66.55MiB / 31.35GiB   0.21%     2.27MB / 24.7kB   0B / 0B     21
18fecc499edf   case2-mongodb-1         0.29%     83.61MiB / 31.35GiB   0.26%     6.82kB / 4.85kB   0B / 0B     42
2a0f20d630c9   edge_iot_smart_dev      0.13%     46.8MiB / 31.35GiB    0.15%     2.28MB / 24.8kB   0B / 0B     21
ad1d0b384673   cloud_broker            0.00%     86.5MiB / 31.35GiB    0.27%     2.28MB / 25.9kB   0B / 0B     21
fb449baf4739   edge_subscriber         0.00%     45.25MiB / 31.35GiB   0.14%     2.28MB / 29.5kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f634e221c4e3   edge_data_manager       0.24%     77.5MiB / 31.35GiB    0.24%     2.28MB / 27.1kB   0B / 0B     31
cf6b962b01fb   cloud_server            0.27%     79.27MiB / 31.35GiB   0.25%     2.28MB / 32.5kB   0B / 0B     31
19b616cbf682   case2-edgeIoTDevSim-1   0.00%     48.87MiB / 500MiB     9.77%     2.28MB / 29kB     0B / 0B     21
a32b57403b1a   cloud_publisher         0.26%     46.95MiB / 31.35GiB   0.15%     2.28MB / 33.7kB   0B / 0B     21
df12b5fb6d8c   edge_broker             0.16%     88.95MiB / 31.35GiB   0.28%     2.28MB / 29.5kB   0B / 0B     21
0503032271dc   cloud_client            0.00%     66.55MiB / 31.35GiB   0.21%     2.27MB / 24.8kB   0B / 0B     21
18fecc499edf   case2-mongodb-1         0.41%     83.61MiB / 31.35GiB   0.26%     8.45kB / 6.68kB   0B / 0B     42
2a0f20d630c9   edge_iot_smart_dev      0.15%     46.93MiB / 31.35GiB   0.15%     2.28MB / 24.9kB   0B / 0B     21
ad1d0b384673   cloud_broker            0.11%     86.5MiB / 31.35GiB    0.27%     2.28MB / 26.1kB   0B / 0B     21
fb449baf4739   edge_subscriber         0.00%     45.39MiB / 31.35GiB   0.14%     2.28MB / 29.6kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f634e221c4e3   edge_data_manager       1.88%     62.17MiB / 31.35GiB   0.19%     2.28MB / 27.1kB   0B / 0B     31
cf6b962b01fb   cloud_server            2.00%     64.11MiB / 31.35GiB   0.20%     2.28MB / 32.5kB   0B / 0B     31
19b616cbf682   case2-edgeIoTDevSim-1   0.00%     48.89MiB / 500MiB     9.78%     2.28MB / 29.2kB   0B / 0B     21
a32b57403b1a   cloud_publisher         0.00%     46.95MiB / 31.35GiB   0.15%     2.28MB / 33.7kB   0B / 0B     21
df12b5fb6d8c   edge_broker             2.77%     66.07MiB / 31.35GiB   0.21%     2.28MB / 30.3kB   0B / 0B     21
0503032271dc   cloud_client            0.03%     51.8MiB / 31.35GiB    0.16%     2.27MB / 24.8kB   0B / 0B     21
18fecc499edf   case2-mongodb-1         0.37%     83.61MiB / 31.35GiB   0.26%     8.98kB / 6.99kB   0B / 0B     42
2a0f20d630c9   edge_iot_smart_dev      0.17%     47.1MiB / 31.35GiB    0.15%     2.28MB / 24.9kB   0B / 0B     21
ad1d0b384673   cloud_broker            2.36%     63.15MiB / 31.35GiB   0.20%     2.28MB / 26.1kB   0B / 0B     21
fb449baf4739   edge_subscriber         0.10%     45.43MiB / 31.35GiB   0.14%     2.28MB / 29.7kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
