CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.00%     81.37MiB / 31.35GiB   0.25%     2.28MB / 25.8kB   0B / 0B     31
90306ecf2c61   cloud_server             0.00%     82.6MiB / 31.35GiB    0.26%     2.28MB / 26.9kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 26.7kB   0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.38%     47.47MiB / 500MiB     9.49%     2.28MB / 27.2kB   0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.44%     44.94MiB / 500MiB     8.99%     2.28MB / 31.4kB   0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.15%     44.88MiB / 31.35GiB   0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.42%     64.98MiB / 31.35GiB   0.20%     2.28MB / 26.4kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     44.87MiB / 500MiB     8.97%     2.28MB / 24.9kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.68MiB / 500MiB     8.94%     2.28MB / 28.7kB   0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.00%     49.15MiB / 500MiB     9.83%     2.28MB / 27.1kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 26.9kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.00%     48.62MiB / 500MiB     9.72%     2.28MB / 25.8kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.38%     87.25MiB / 31.35GiB   0.27%     2.29MB / 28.8kB   0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.43%     46.84MiB / 31.35GiB   0.15%     2.28MB / 24.4kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.20%     83.8MiB / 31.35GiB    0.26%     2.28MB / 25.5kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.00%     44.64MiB / 500MiB     8.93%     2.28MB / 25.2kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.42%     73.41MiB / 31.35GiB   0.23%     4.23kB / 2.62kB   0B / 0B     39
ab95e721fd5b   case2-edgeIoTDevSim-8    0.00%     46.82MiB / 500MiB     9.36%     2.28MB / 26.6kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.58%     49.32MiB / 31.35GiB   0.15%     2.28MB / 27.6kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        2.15%     81.13MiB / 31.35GiB   0.25%     2.28MB / 26.2kB   0B / 0B     31
