CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
701d8fbc254d   edge_data_manager       0.00%     81.29MiB / 31.35GiB   0.25%     2.28MB / 25.6kB   0B / 0B     31
9bfae88e0069   cloud_server            0.00%     83.04MiB / 31.35GiB   0.26%     2.27MB / 24.6kB   0B / 0B     31
46bf71f206f3   edge_subscriber         0.85%     47.02MiB / 31.35GiB   0.15%     2.27MB / 24.2kB   0B / 0B     21
bc42a97cad90   case2-edgeIoTDevSim-1   0.47%     48.93MiB / 500MiB     9.79%     2.27MB / 23.9kB   0B / 0B     21
dadc22ff80b5   edge_broker             4.32%     88.92MiB / 31.35GiB   0.28%     2.28MB / 26kB     0B / 0B     21
aeb1312c0119   cloud_client            0.00%     63.29MiB / 31.35GiB   0.20%     2.27MB / 22.7kB   0B / 0B     21
23a14a580f50   case2-mongodb-1         3.23%     82.19MiB / 31.35GiB   0.26%     7.79kB / 5.79kB   0B / 0B     44
031a99bce2d8   cloud_publisher         0.66%     49MiB / 31.35GiB      0.15%     2.27MB / 24.3kB   0B / 0B     21
f9196119c677   cloud_broker            1.11%     85.64MiB / 31.35GiB   0.27%     2.28MB / 23.2kB   0B / 0B     21
26bd36bf276f   edge_iot_smart_dev      0.18%     46.8MiB / 31.35GiB    0.15%     2.27MB / 26.5kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
701d8fbc254d   edge_data_manager       0.00%     81.29MiB / 31.35GiB   0.25%     2.28MB / 25.6kB   0B / 0B     31
9bfae88e0069   cloud_server            0.00%     83.04MiB / 31.35GiB   0.26%     2.27MB / 24.6kB   0B / 0B     31
46bf71f206f3   edge_subscriber         0.00%     47.17MiB / 31.35GiB   0.15%     2.28MB / 24.4kB   0B / 0B     21
bc42a97cad90   case2-edgeIoTDevSim-1   0.00%     49.05MiB / 500MiB     9.81%     2.27MB / 24.3kB   0B / 0B     21
dadc22ff80b5   edge_broker             0.00%     88.95MiB / 31.35GiB   0.28%     2.28MB / 27.1kB   0B / 0B     21
aeb1312c0119   cloud_client            0.00%     63.29MiB / 31.35GiB   0.20%     2.27MB / 22.8kB   0B / 0B     21
23a14a580f50   case2-mongodb-1         0.39%     82.2MiB / 31.35GiB    0.26%     8.46kB / 6.1kB    0B / 0B     44
031a99bce2d8   cloud_publisher         0.00%     49MiB / 31.35GiB      0.15%     2.27MB / 24.5kB   0B / 0B     21
f9196119c677   cloud_broker            0.00%     85.64MiB / 31.35GiB   0.27%     2.28MB / 23.3kB   0B / 0B     21
26bd36bf276f   edge_iot_smart_dev      0.19%     46.93MiB / 31.35GiB   0.15%     2.27MB / 26.5kB   0B / 0B     21
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
701d8fbc254d   edge_data_manager       0.47%     81.27MiB / 31.35GiB   0.25%     2.28MB / 26kB     0B / 0B     31
9bfae88e0069   cloud_server            0.00%     83.05MiB / 31.35GiB   0.26%     2.28MB / 24.9kB   0B / 0B     31
46bf71f206f3   edge_subscriber         0.00%     47.17MiB / 31.35GiB   0.15%     2.28MB / 24.4kB   0B / 0B     21
bc42a97cad90   case2-edgeIoTDevSim-1   0.00%     49.05MiB / 500MiB     9.81%     2.27MB / 24.3kB   0B / 0B     21
dadc22ff80b5   edge_broker             0.00%     88.96MiB / 31.35GiB   0.28%     2.28MB / 27.4kB   0B / 0B     21
aeb1312c0119   cloud_client            0.00%     63.29MiB / 31.35GiB   0.20%     2.28MB / 23.1kB   0B / 0B     21
23a14a580f50   case2-mongodb-1         0.45%     82.2MiB / 31.35GiB    0.26%     10.1kB / 8.28kB   0B / 0B     44
031a99bce2d8   cloud_publisher         0.00%     49MiB / 31.35GiB      0.15%     2.27MB / 24.5kB   0B / 0B     21
f9196119c677   cloud_broker            0.00%     85.64MiB / 31.35GiB   0.27%     2.28MB / 23.6kB   0B / 0B     21
