CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        1.55%     80.33MiB / 31.35GiB   0.25%     2.28MB / 30.5kB   0B / 0B     31
a8cafe55cf25   cloud_server             1.85%     78.84MiB / 31.35GiB   0.25%     2.28MB / 26.5kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.08%     49.18MiB / 500MiB     9.84%     2.28MB / 28.3kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.07%     48.94MiB / 500MiB     9.79%     2.28MB / 27.7kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.00%     44.8MiB / 500MiB      8.96%     2.28MB / 25.9kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     46.97MiB / 500MiB     9.39%     2.28MB / 24kB     0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.9MiB / 500MiB      9.38%     2.28MB / 23.8kB   0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.13MiB / 500MiB     9.83%     2.28MB / 24.1kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.00%     48.97MiB / 500MiB     9.79%     2.28MB / 25.9kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.05MiB / 500MiB     9.41%     2.28MB / 26.2kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     46.86MiB / 500MiB     9.37%     2.28MB / 25kB     0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.00%     48.95MiB / 500MiB     9.79%     2.28MB / 28.5kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.38%     44.88MiB / 500MiB     8.98%     2.28MB / 26.2kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.28%     44.93MiB / 500MiB     8.99%     2.28MB / 22.8kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.27%     46.83MiB / 500MiB     9.37%     2.27MB / 25.6kB   0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.00%     46.9MiB / 500MiB      9.38%     2.28MB / 25.6kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.00%     48.66MiB / 500MiB     9.73%     2.28MB / 23.6kB   0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.16%     47.21MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     52.8MiB / 500MiB      10.56%    2.28MB / 23.5kB   0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.73MiB / 500MiB     9.75%     2.27MB / 24.8kB   0B / 0B     21
c5662b472df2   cloud_publisher          0.00%     47.02MiB / 31.35GiB   0.15%     2.28MB / 35.4kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.61MiB / 500MiB     9.32%     2.28MB / 23.8kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.10%     50.18MiB / 31.35GiB   0.16%     2.28MB / 28.6kB   0B / 0B     21
007e18a28be3   cloud_broker             2.88%     62.7MiB / 31.35GiB    0.20%     2.28MB / 26.5kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.00%     48.69MiB / 500MiB     9.74%     2.28MB / 24.4kB   0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.00%     49.17MiB / 500MiB     9.83%     2.27MB / 24.9kB   0B / 0B     21
185e48e832bc   edge_broker              3.53%     66.05MiB / 31.35GiB   0.21%     2.29MB / 32.1kB   0B / 0B     21
6d60d25435f9   cloud_client             1.97%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.31%     72.58MiB / 31.35GiB   0.23%     4.83kB / 2.56kB   0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.00%     63.93MiB / 31.35GiB   0.20%     2.28MB / 30.8kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.87MiB / 31.35GiB   0.20%     2.28MB / 26.8kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.00%     49.18MiB / 500MiB     9.84%     2.28MB / 28.3kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.00%     48.94MiB / 500MiB     9.79%     2.28MB / 27.7kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.00%     44.81MiB / 500MiB     8.96%     2.28MB / 26.1kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     46.98MiB / 500MiB     9.40%     2.28MB / 24.2kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.92MiB / 500MiB     9.38%     2.28MB / 24kB     0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.15MiB / 500MiB     9.83%     2.28MB / 24.3kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.07%     49.24MiB / 500MiB     9.85%     2.28MB / 26.2kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.07%     47.07MiB / 500MiB     9.41%     2.28MB / 26.4kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     46.86MiB / 500MiB     9.37%     2.28MB / 25kB     0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.00%     48.95MiB / 500MiB     9.79%     2.28MB / 28.5kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.00%     44.88MiB / 500MiB     8.98%     2.28MB / 26.2kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.00%     44.93MiB / 500MiB     8.99%     2.28MB / 22.8kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.00%     46.83MiB / 500MiB     9.37%     2.27MB / 25.6kB   0B / 0B     21
