CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
430783d81552   edge_data_manager         0.00%     72.05MiB / 31.35GiB   0.22%     2.45MB / 217kB    0B / 0B     31
628871ab8d1a   cloud_server              0.00%     67.09MiB / 31.35GiB   0.21%     2.36MB / 88.7kB   0B / 0B     31
4d3959bef205   case2-edgeIoTDevSim-278   0.02%     49.64MiB / 500MiB     9.93%     2.31MB / 35.6kB   0B / 0B     21
1e4254bedb12   case2-edgeIoTDevSim-289   0.00%     47.61MiB / 500MiB     9.52%     2.32MB / 36.7kB   0B / 0B     21
8d8304fcd4c4   case2-edgeIoTDevSim-270   0.00%     47.36MiB / 500MiB     9.47%     2.31MB / 35.5kB   0B / 0B     21
1095ecaaa333   case2-edgeIoTDevSim-268   0.00%     49.58MiB / 500MiB     9.92%     2.31MB / 35.7kB   0B / 0B     21
07b0b043be46   case2-edgeIoTDevSim-290   0.00%     47.5MiB / 500MiB      9.50%     2.31MB / 36.2kB   0B / 0B     21
e652c19a098e   case2-edgeIoTDevSim-295   0.00%     47.45MiB / 500MiB     9.49%     2.31MB / 37.3kB   0B / 0B     21
7db2d770e51a   case2-edgeIoTDevSim-297   0.00%     49.48MiB / 500MiB     9.90%     2.31MB / 38.6kB   0B / 0B     21
2f207757b12b   case2-edgeIoTDevSim-296   0.00%     47.7MiB / 500MiB      9.54%     2.31MB / 34.7kB   0B / 0B     21
39ae45ead214   case2-edgeIoTDevSim-280   0.03%     45.79MiB / 500MiB     9.16%     2.32MB / 36.6kB   0B / 0B     21
a040bbfa3787   case2-edgeIoTDevSim-269   0.03%     47.49MiB / 500MiB     9.50%     2.31MB / 34.1kB   0B / 0B     21
b8adff623742   case2-edgeIoTDevSim-299   0.02%     49.51MiB / 500MiB     9.90%     2.31MB / 35.9kB   0B / 0B     21
80fe934b51ea   case2-edgeIoTDevSim-291   0.03%     45.68MiB / 500MiB     9.14%     2.31MB / 32.7kB   0B / 0B     21
75a7803d29cd   case2-edgeIoTDevSim-298   0.00%     45.71MiB / 500MiB     9.14%     2.31MB / 38.5kB   0B / 0B     21
