CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
6fe62fbbdd50   edge_data_manager         0.00%     65.71MiB / 31.35GiB   0.20%     2.32MB / 79.1kB   0B / 0B     31
9e2c3935d155   cloud_server              0.00%     62.92MiB / 31.35GiB   0.20%     2.3MB / 37.9kB    0B / 0B     31
c8734f10c150   case2-edgeIoTDevSim-64    0.05%     47.4MiB / 500MiB      9.48%     2.28MB / 32.1kB   0B / 0B     21
08effa636d74   case2-edgeIoTDevSim-18    0.00%     49.28MiB / 500MiB     9.86%     2.29MB / 25.8kB   0B / 0B     21
539075bd4cb8   case2-edgeIoTDevSim-57    0.00%     47.42MiB / 500MiB     9.48%     2.29MB / 26.6kB   0B / 0B     21
0e7caa1b3423   case2-edgeIoTDevSim-63    0.00%     47.16MiB / 500MiB     9.43%     2.28MB / 26.1kB   0B / 0B     21
5c28de265be6   case2-edgeIoTDevSim-53    0.00%     49.52MiB / 500MiB     9.90%     2.28MB / 24.2kB   0B / 0B     21
7e7802e114a5   case2-edgeIoTDevSim-68    0.00%     47.49MiB / 500MiB     9.50%     2.28MB / 29.3kB   0B / 0B     21
148fcb47abc8   case2-edgeIoTDevSim-66    0.00%     47.08MiB / 500MiB     9.42%     2.29MB / 28.8kB   0B / 0B     21
fc35cc962709   case2-edgeIoTDevSim-52    0.00%     47.34MiB / 500MiB     9.47%     2.29MB / 28.4kB   0B / 0B     21
cf90edb88fdc   case2-edgeIoTDevSim-58    0.00%     47.38MiB / 500MiB     9.48%     2.29MB / 26.5kB   0B / 0B     21
634fc3864c5e   case2-edgeIoTDevSim-65    0.04%     45.45MiB / 500MiB     9.09%     2.29MB / 28.3kB   0B / 0B     21
7281c6fd3e56   case2-edgeIoTDevSim-59    0.04%     47.2MiB / 500MiB      9.44%     2.28MB / 29.6kB   0B / 0B     21
4653f4156ab9   case2-edgeIoTDevSim-60    0.00%     47.2MiB / 500MiB      9.44%     2.28MB / 26.7kB   0B / 0B     21
2dc326c672fb   case2-edgeIoTDevSim-56    0.00%     49.12MiB / 500MiB     9.83%     2.3MB / 35.9kB    0B / 0B     21
441af7e4f285   case2-edgeIoTDevSim-97    0.00%     45.09MiB / 500MiB     9.02%     2.28MB / 27.2kB   0B / 0B     21
979194b5fd50   case2-edgeIoTDevSim-50    0.00%     49.02MiB / 500MiB     9.80%     2.28MB / 25kB     0B / 0B     21
