CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        0.00%     81.64MiB / 31.35GiB   0.25%     2.27MB / 26.9kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.00%     82.75MiB / 31.35GiB   0.26%     2.28MB / 42.9kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.09%     45.48MiB / 31.35GiB   0.14%     2.28MB / 31kB     0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.00%     46.82MiB / 500MiB     9.36%     2.28MB / 28.7kB   0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.14%     47.11MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.00%     51.09MiB / 500MiB     10.22%    2.28MB / 23.9kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.28%     46.91MiB / 500MiB     9.38%     2.28MB / 25.4kB   0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.36%     48.96MiB / 500MiB     9.79%     2.27MB / 23kB     0B / 0B     21
9b541bd08d59   cloud_broker             0.00%     90.23MiB / 31.35GiB   0.28%     2.28MB / 25.1kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.46%     88.89MiB / 31.35GiB   0.28%     14kB / 8.35kB     0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.00%     48.9MiB / 500MiB      9.78%     2.27MB / 26.1kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     46.78MiB / 500MiB     9.36%     2.27MB / 23.1kB   0B / 0B     21
d3c892f1bea9   cloud_client             0.00%     64.53MiB / 31.35GiB   0.20%     2.28MB / 22.3kB   0B / 0B     21
1a3ee561cd94   case2-edgeIoTDevSim-9    0.00%     44.65MiB / 500MiB     8.93%     2.28MB / 30.2kB   0B / 0B     21
d45d62482136   case2-edgeIoTDevSim-10   0.00%     48.65MiB / 500MiB     9.73%     2.27MB / 23.8kB   0B / 0B     21
4af7e856a5c3   edge_broker              0.39%     88.92MiB / 31.35GiB   0.28%     2.29MB / 49.1kB   0B / 0B     21
590beb10cb13   cloud_publisher          0.00%     46.88MiB / 31.35GiB   0.15%     2.28MB / 26.2kB   0B / 0B     21
a8a260b316c7   case2-edgeIoTDevSim-2    0.00%     48.68MiB / 500MiB     9.74%     2.28MB / 26.2kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    6.47%     46.84MiB / 500MiB     9.37%     2.28MB / 25.2kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
