CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f74ae9a8c644   edge_data_manager         0.01%     93.68MiB / 31.35GiB   0.29%     2.57MB / 343kB    0B / 0B     31
68dd16b3141e   cloud_server              0.03%     64.66MiB / 31.35GiB   0.20%     2.44MB / 127kB    0B / 0B     31
e60b986d1f2a   case2-edgeIoTDevSim-381   0.00%     46.29MiB / 500MiB     9.26%     2.33MB / 44.6kB   0B / 0B     21
346ca4509436   case2-edgeIoTDevSim-445   0.00%     48.36MiB / 500MiB     9.67%     2.34MB / 42.6kB   0B / 0B     21
8ab118174e89   case2-edgeIoTDevSim-446   0.02%     48.13MiB / 500MiB     9.63%     2.34MB / 43.3kB   0B / 0B     21
d4c03f594599   case2-edgeIoTDevSim-318   0.02%     50.05MiB / 500MiB     10.01%    2.33MB / 46.9kB   0B / 0B     21
0b8b156bc9e9   case2-edgeIoTDevSim-297   0.02%     48.25MiB / 500MiB     9.65%     2.33MB / 44.3kB   0B / 0B     21
a93d90f47036   case2-edgeIoTDevSim-257   0.02%     48.22MiB / 500MiB     9.64%     2.34MB / 45.6kB   0B / 0B     21
843ee06ac800   case2-edgeIoTDevSim-376   0.01%     48.11MiB / 500MiB     9.62%     2.33MB / 46.7kB   0B / 0B     21
311d66fe10ce   case2-edgeIoTDevSim-295   0.01%     50.17MiB / 500MiB     10.03%    2.34MB / 45.5kB   0B / 0B     21
022084a82e29   case2-edgeIoTDevSim-331   0.01%     50.08MiB / 500MiB     10.02%    2.33MB / 43.5kB   0B / 0B     21
7683cd3b78df   case2-edgeIoTDevSim-375   0.02%     48.23MiB / 500MiB     9.65%     2.33MB / 44.5kB   0B / 0B     21
1824fcfb0576   case2-edgeIoTDevSim-329   0.00%     50.03MiB / 500MiB     10.01%    2.34MB / 61.3kB   0B / 0B     21
6a94ff06e914   case2-edgeIoTDevSim-252   0.00%     50.21MiB / 500MiB     10.04%    2.34MB / 50.8kB   0B / 0B     21
2d2886da96f9   case2-edgeIoTDevSim-428   0.00%     48.27MiB / 500MiB     9.65%     2.34MB / 46.6kB   0B / 0B     21
ce7ca73b619a   case2-edgeIoTDevSim-366   0.01%     46.22MiB / 500MiB     9.24%     2.34MB / 45.7kB   0B / 0B     21
